date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type,purpose1,type1
1957-04-16,1957,57007,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,320.0,320.0,WR,,ATMOSPH,WR,ATMOSPH
1957-04-24,1957,57053,USA,MELLIS NV,DOE,37.0,-115.0,0.0,0.0,0.0,0.0,0.0,SE,PROJECT 57:1,SURFACE,PNE,ATMOSPH
1957-05-15,1957,57008,UK,MALDEN IS,DOE,-4.0,-155.0,0.0,0.0,0.0,300.0,300.0,WR,GRAPPLE:1,AIRDROP,WR,ATMOSPH
1957-05-28,1957,57009,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,12.0,12.0,WR,BOLTZMANN,TOWER,WR,ATMOSPH
1957-05-31,1957,57010,UK,MALDEN IS,DOE,-4.0,-155.0,0.0,0.0,0.0,720.0,720.0,WR,GRAPPLE:2,AIRDROP,WR,ATMOSPH
1957-06-02,1957,57011,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,0.14,0.14,WR,FRANKLIN,TOWER,WR,ATMOSPH
1957-06-05,1957,57012,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,0.0005,0.0005,WR,LASSEN,BALLOON,WR,ATMOSPH
1957-06-18,1957,57013,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,10.0,10.0,WR,WILSON,BALLOON,WR,ATMOSPH
1957-06-19,1957,57014,UK,MALDEN IS,DOE,-4.0,-155.0,0.0,0.0,0.0,200.0,200.0,WR,GRAPPLE:3,AIRDROP,WR,ATMOSPH
1957-06-24,1957,57015,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,37.0,37.0,WR,PRISCILLA,BALLOON,WR,ATMOSPH
1957-07-01,1957,57054,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,SE,COULOMB-A,SURFACE,PNE,ATMOSPH
1957-07-05,1957,57016,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.5,74.0,74.0,WR,HOOD,BALLOON,WR,ATMOSPH
1957-07-15,1957,57017,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,17.0,17.0,WR,DIABLO,TOWER,WR,ATMOSPH
1957-07-19,1957,57018,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-6.8,2.0,2.0,WE,JOHN,ROCKET,PNE,SPACE
1957-07-24,1957,57019,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,10.0,10.0,WR,KEPLER,TOWER,WR,ATMOSPH
1957-07-25,1957,57020,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,9.7,9.7,WR,OWENS,BALLOON,WR,ATMOSPH
1957-07-26,1957,57021,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,SE,PASCAL-A,SHAFT,PNE,UNDERGROUND
1957-08-07,1957,57022,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.5,19.0,19.0,WR,STOKES,BALLOON,WR,ATMOSPH
1957-08-10,1957,57055,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,SE,SATURN,TUNNEL,PNE,UNDERGROUND
1957-08-18,1957,57023,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,17.0,17.0,WR,SHASTA,TOWER,WR,ATMOSPH
1957-08-22,1957,57024,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,520.0,520.0,WR,,ATMOSPH,WR,ATMOSPH
1957-08-23,1957,57025,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.5,11.0,11.0,WR,DOPPLER,BALLOON,WR,ATMOSPH
1957-08-26,1957,57026,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,0.1,0.1,SE,,ATMOSPH,PNE,ATMOSPH
1957-08-27,1957,57027,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,SE,PASCAL-B,SHAFT,PNE,UNDERGROUND
1957-08-30,1957,57028,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.25,4.7,4.7,WR,FRANKLIN PRIME,BALLOON,WR,ATMOSPH
1957-08-31,1957,57029,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.25,44.0,44.0,WR,SMOKY,TOWER,WR,ATMOSPH
1957-09-02,1957,57030,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,11.0,11.0,WR,GALILEO,TOWER,WR,ATMOSPH
1957-09-06,1957,57031,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,0.2,0.2,WR,WHEELER,BALLOON,WR,ATMOSPH
1957-09-06,1957,57032,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.001,0.3,0.3,SE,COULOMB-B,SURFACE,PNE,ATMOSPH
1957-09-07,1957,57034,USSR,N2 RUSS,DOE,73.0,55.0,0.0,0.0,0.0,32.0,32.0,FMS,,SURFACE,PNE,ATMOSPH
1957-09-08,1957,57033,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.25,1.0,1.0,WR,LAPLACE,BALLOON,WR,ATMOSPH
